,Ratings,Full_review
18,5,"This is an initial impression review. The battery life, display and design are above par. Gaming experience is terrific with a good, strong card inside. The issue might be the 2GB RAM reseved by RX Vega which is the inbuilt mobile gpu of Ryzen. All in all, a good package and a great value for money. My suggestion would be to install an ssd and an additional 8 GB RAM in the near future to get the most out of the product. Note : Disappointed by flipkart for not putting in bubble wrap in the pa..."
19,5,greate deal for the price to performance ratio. for gaming it is good but only one problem it heats up quickly so for better you should keep it on cool surface for gaming . Other things are exellent. 'I loved the experience
20,5,Product is excellent but battery is draining is lot faster than I expected but it is above average. Overall product is good and I think you also get what you paid for. I am happy with laptop.
21,1,"Sorry, after 2 months of buying now....I am thinking why I bought this laptop ....I recommend don't buy you can go with intel instead of ryzen ...I bought it for coding and designing purpose but yet I haven't installed such softwares ...still it is getting hang while watching yt on it ... just like our Android get if memory gets full ...and also some time sentence of some part getting on screen adruptly ....design and display of lappi is excellent but had performence ...."
22,4,Good product performance really awsome and powerful battery life...😇😇😍.. I like it very much
23,4,It is having a wonderful build design ? Build quality is really good Bcoz of not having ssd it's not that fast in opening files apps and softwares It doesn't gets too much heat Overall satisfied with the product
24,5,"Overall this is best buy in this price range. Only issue I found that it has 5.9 gigs of Usuable ram out of 8 gigs because of integrated amd graphics. It gives approximately 40 to 60 fps in high end games like watch dogs 2, gta v, Witcher 3 at high settings. Battery is decent, display quality is good....."
25,5,It is a bit slow.... If you want faster experience install ssd in it. It has SSD slot or you can go for SSD variant.Other than this all are woking good. I think this may not be a big problem. I loved it.... The gaming experience is so nice...overall performance is good..
26,5,Good Experience with this Product. For better more smoothness and for better experience upgrade add 256 GB SSD in it .
27,4,It's small...Design good...Clarity awesome....Performance is good after 1 week use...Battery charges fast and stands nearly 6 hours for normal use ...One minor problem when it's charging we can't use the mouse touch pad smoothly...It's jumping and lagging....Better use separate mouse like i do...Just cause 3 plays very smoothly...Only 6 gb ram we can use as a default... Over all its a good one ...
28,4,"The laptop in short is a beast.For peaple owning a laptop for the first time,it would be bliss.It has many flaws(with HDD).But for those who are willing to take care of their laptop,it will work like a charm. Overall,I would say just to go for it."
29,4,Product is awesome I m fully satisfied with the product. Display quality is superb But the delivery experience was not so good took almost 15 days to deliver the product..
30,5,"Excellent laptop for professional as well as gaming purpose. I am writing this review after 1 month of use. First when I got the product it was not the proper product as the OS was having some problem. But immediately hp service man have checked and cleared the problem. I am using this laptop for design purpose. I use to work with AutoCAD, CATIA, SOLIDWORKS, etc. These applications are running super smooth and speed in this laptop. However if you are using this kind of high end applications ..."
31,5,"I am writing these reviews after using 3 months of using this laptop.  Points: 1. RAM capacity is 8GB. If you want to enjoy gaming, atleast install 16GB RAM. 2. I played games like AC Valhalla, GTA 5, RDR 2, Days Gone, Witcher, AC Oddesey, watch dogs 2 and many more. At the highest graphics settings you can sense some lag, but good for mid range graphics. 3.Heating Issue: Yes, this can heat up a lot, but to mention gaming laptops use graphics so that is natural. To use the most out of laptop,..."
32,5,"I have been using this for a week now. Short answer, just go for it, the best non chinese laptop under this price segment. I brought it for 48k. I have seen most of the reviews saying performance is not great. First things first you have to plug in while you are gaming otherwise you won't be getting the peak performance or just set battery to best performance while you are not plugged in.  Boot time with HDD: Again I have seen many reviews saying it takes around 1 and half minute to boot ..."
33,3,"One of the best budget gaming laptop loved it 😘. Smooth performance, good graphics card but it would have been better if there were other colors of RGB lights on the keyboards and u cannot change the color of the keyboard lights. But good laptop beast performance."
34,5,"Actually it's good ,no problem yet .just update your windows and it will became more fast. You can also add ssd and ram if you needed. Look wise it is great and battery charges very fast due to 150 watt charger.  Actually it's perfect if you add ssd and ram"
35,4,"I bought this laptop for a balance routine like moderate gaming and normal work, and i have no complaints. The battery backup is really good of around 4hrs 30min to 5 hrs. The keyboard is well lit and you have no problem seeing the buttons even in dark room conditions. Ive been using this for 3 months now and I HAVE NO ISSUES with it. Do keep in mind that this comes with the TRIAL version of Microsoft Office and not the full version. It comes with McAfee antivirus which does a really good j..."
36,5,Performance was awesome .....it has Amd Rhyzen 5 3550H processor which has slightly lower base clock speed of 2.1 GHz but that works much better than Intel Core i5 9th gen and also neck to neck i5 10th gen....some said it was also better than i7 9th gen ....which I can even realise when it renders videos within minutes in DaVinci Resolve which is most renowned video editing software and heavy software in the industry...but that is only possible with an extra installation of M.2 Nvme SSD from...
37,5,"Pictures don't do justice.. Product is awesome and built quality is too good. Looks premium. Upgrade to ssd for most of this beast.. Display is awesome. Backlit is good. Purple is better than >>>red, white.. I have used many of them... Battery is 4 hours.. Overall it's a beast under 50k..  If u are getting it under 55k go for it..  Out of 8 gb ram 6 gb ram is what we get.."
38,5,I ordered this laptop a month ago and I really love it So this review is for those who aren't sure if it's worth it well to be honest it has a average battery in terms of me rating it But it is really fast and the screen is really good Design wise and performance is really good It comes with a ryzen 5 processor and gtx 1650 Graphics card Which is really great Especially for gaming U can play fortnite above 60 fps and 120 fps with no problem Go for it it's really worth it The only is...
39,5,"Very Good Packaging. Product safely kept. Received the product in good condition. Clean Stuff. Only problem is the RAM, 6GB is only usable out of 8GB"
40,4,"Ok, so I have a lot to say. First of all, I ordered this laptop for my sister on 7th Nov. My father purchased it and it was fast delivered. Coming to packaging. Flipkart terrible packaging from the outermost. When we first unboxed it the hp package was perfect in condition. The laptop was fresh as anticipated. It was perfectly sealed. Ok now coming to the product. I'll say it directly. Pros Display-15.6 perfect if you want a big screen and got bored of a 14 inch one Processor-a ryzen 5 3550h..."
41,4,This Laptop has a HDD which is really slow at booting...i would recommend you to buy a M.2 NVME SSD for Faster boot time and great performance...and also add up an 8GB ddr4 RAM for great performance
42,4,Nice and best product as per specification but only battery backup is needed and i will suggest tjat if you are buying this product then please insert an SSD for smooth and better experience in it.
43,4,"absolutely satisfied with the product. No ssd in this one but believe me it boots up in freaking 20 seconds. its just mind boggling. performance wise its descent handles my alll the tasks like a charm and it has got a good cooling system as well. fan not so loud so . if u r having a strict budget around 52k just go for this, spending little more and getting a hexa core proccesor model 1021ax would be wiser though. go for it u wont be dissapointed.  Edit: if u buy this one here after do not uo..."
44,4,Overall This Laptop Is Great But Someone Who Want Something Perfect I inform You That For Ame Lovers Its gReat thing as 4gb graphics and 8 gb ram is spectacular on the other hand battery drains quickly when you play games its important to plug in charger while playing  Screen size is small compare to others but its budget friendly so no offense  Need ssd for the fast startup and game lags due to it when power supply is not connected  I lost my battery sign on the taskbar so if anyone know how...
45,4,Best at this price range only compromising thing is its ram but 6 gb ram also handle many AAA titles with ease but you may notice some of very high end titles sttuter like GTA 5 because of ram if you upgrade your ram to 12 gb or 16 gb then you will get the real performance of this lappy ....no frame drops after upgrading and handle 70% new games with 60fps ij high setting .....
46,5,In this price range this is better lappi and you can also option for upgrade your ram and also attached ssd for better performance but one demerit was processor 3350h if HP inbuilt 4600H processor this was AWESOME deal but over all performance was good . Display 5star Battery 5 star Processor 4star But if we attached SSD then speed and performance will increase but overall in this price range i will give 5 star after 20 days use ..
47,4,The product is best at this price ... The only con is it is a little bit slow because of hdd but can be corrected with 256 gb ssd ... So that will not be a big problem... Charging is very fast and battery life in normal usage is 4hours.... Overall good laptop
48,4,"I bought this laptop 7 days back and according to my, this laptop is pretty good .let me first talk about the design, so the design of this product very good and the performance of the battery is also nice but I don't like the keyboard because of the LED light you will not able to see the letters present on the keyboard and the final one is speed. In my case, the laptop speed is a little slow. If you add SSD then it will become more fast. so then thank you for reading my review."
49,5,"Boot time is a little slow but other than that I have know complains. Solid build quality, great screen, good speakers, respectable battery life, bang for the buck gaming performance. Overall very satisfied"
50,3,"The design and the user experience is best in class. But, it is quite slow. Even simple activities take longer time to respond. Also, would have been great if it had a Touch screen instead of a regular screen. Overall, I am happy except for these issues."
51,5,"Its been 2 weeks I am using the laptop, upgraded with 8 GB more RAM and it works like a charm, all the AAA titles of game runs smoothly on it - The game you name it and this beast will play it like charm, overall a great choice for official use also - For Work from home. To unlock the beast do upgrade with 8 GB ram and 240 GB SSD and it will run faster than any other laptop in this price range. Great value for money, Looks are awesome. Great choice."
52,5,pretty cool design the performance is really good the battery performance is good and it really charge very fast comparing to another laptops if you are seeing a laptop under 55k you can go for it
53,5,Amazing Laptop Loved it I upgraded the 256gb Western Digital Nvme SSD into it which make it's performance next level Booting time reduced from 40 seconds to 18 seconds. Recommended to install ssd to get real performance
54,5,Very nice laptop for students and office work better that Asus and Acer We can play game at High settings to get 60fps Battery is very nice and laptop charges in 30-60 min Display is fantastic
55,5,"Great gaming laptop in affordable price... Must buy for gaming lovers and content creators..   Pros: 1. Display is crisp and smooth 2. Processor 3. Upgradable with SSD upto 1tb and ram upto 32 gb  Cons: 1. Stock HDD is slow and it takes pc to start upto 3-4mins.(once I upgraded with WD SSD and copied the OS from HDD to SSD by WD disk cloning app, this problem cleared and takes me to windows within 10 seconds) 2. Games like GTA V can be played only when the laptop is connected to charger. Wh..."
56,5,Laptop is decent in terms of performance and gaming. Good display and processor for the price. Only con is less ram as integrated vega gfx eats 2gb so u get only 6gb. An additional 8/16gb RAM of 2666mhz speed from crucial can easily solve this problem. Also after 3-4 months the hdd will start acting up. This can be tolerated to some extent but if someone is looking to play games like Valorant or GTA 5 must upgrade to an 512GB SSD. Rest everything is working fine. Its a beauty🔥
57,4,"This is a good laptop.I played farcry 3,farcry 4 without SSD or ram upgrade.But BlueStacks lags.If you are a freefire player you can play lag free in smooth only.Charge don't last long.For gaming 10min it drops more than 20%.With charged only u get smooth fps.If u upgrade ram and SSD it may be good."
58,4,I write this review after using 10 days Design of laptop is excellent Especially display I loved it Battery is disappointing me Except battery all else fine If you are student then go for it Overall this is my first laptop so I love it One more thing performance is bit slow due to hdd If you want to play gt5 then you add ssd this boot your performance
59,4,"This is a decent gaming laptop, not recommended for high end gamers. However for casual gamers it's a nice option and performance is also good."
60,4,"The System is quite good in terms of processing power. The only problem is HDD, it takes ages to load anything. Be it booting or starting any heavy app. It takes a lot of time to run apps and to boot up. The same problem is true for most laptops with HDD as primary storage.  To overcome the long wait in boot time. I use the hibernate option provided by windows instead of shutdown. Hibernate keeps all your apps running and cuts of the power to the system. So the next time you turn it on, it's ..."
61,4,"Display and design are great hdd is slow i updated this ssd its very fast and battery is average but 150watt charges charges very quick, gaming performance while charger plugged is seamless i got it for RS.49240/- perfect deal im happy with it."
62,5,Awsome laptop. Only battery backup is a little lower but charges faster and windows 10 is genuine it is still awsome laptop.
63,4,"-Laptop looks great. -Display is awesome. -Those backlits are awesome man. We feel like watching the backlits turn-on the whole day. -Battery is below average to be frank. I get hardly 2:30 hrs backup. -Speakers are good, but not the best in this price rang e and especially when they mention B & Bo audio system, I expected more from it. -As it has only HDD, it's not that fast, it gets stuck at times but still manageable. -Graphics is good. I played Asphalt 9 legends.  Verdict: Go for it!👍"
64,4,"Review after 3 months !! If you really want a good display laptop,just go for it. screen display is awesome than asus vivobook and mi notebook. If you want a performance and speed then you really need SSD. without that it is average. Just normal gaming and takes a bit second to open apps and games. Bit SSD will make it a beast !! Overall m happy with the beast 🔥 no other laptop has such feature in this range. 1. Display 5/5 2. Performance 4/5 (bcoz of hdd) 3. Speaker 4/5 (it's decent) 4. L..."
65,5,It's awesome product.. it's completely fast working process and multi short cut touch and design its ultimate like this laptop . I lived it ... battery backup generally good. Once you completely charged ur working continues online 5hrs I think. As per price the product its better then other laptop.  But design its fibler related plastic. Otherwise the product have supper product I like it product.
66,3,"Battery is pathetic, like I was getting free electricity in Delhi due to limited consumption, but this laptop sure gonna hike my electricity usage.  Laptop lags a bit , atleast 128 GB SSD should be given , and yes ram needs to get upgraded too , in order to have good performance.  Rest okayish product. For average usage."
67,5,"It is just awesome laptop good design, excellent display,nice graphics It is an awesome product I just loved it"
68,4,"I am satisfied with it at this price.Smooth performance even without ssd , backlight is just awesome I loved it.this is best for overall performance wheather you want to play game ,do editing , everything you can do smoothly.must buy it."
69,5,Awesome Product. Really fast and reliable. Haven't played any games yet but it pretty solid with multi tasking. Takes some time to start up the first time but then later its fine. I preferred Ryzen 5 over intel because of performance and it truly delivers that performance.
70,4,I bought this laptop far a week now.. it was soo cool and amazing performance for this price range.The only issue is with the booting time gets more time because of no ssd.. and the battery is pretty good for my usage..and for great performance there is a M.2 sad slot you can easy add ssd and run os on that ssd it will boot fast and fast processing 🔥.. Overall the laptop is beast because of Nividia GTX 1650 graphics 🔥🔥..go for it don't hesitate to buy it's a beast for this price range and...
71,5,Very nice product must buy !!!!! *Performance is very nice.. *Battery backup up to 90min for gaming otherwise for small works 3-4hrs *Audio quality is good but not so loud. * Display also good even we can use in sunlight Over all nice product must by this.
72,4,"this laptop needs some extra ram to be installed after purchasing as it is slow in many ways and if possible have some budget after buying it to upgrade it with a ssd and ram then it is a beast. over all build quality is very good. the matte finish make it looks classy but at the same time attracts everything including dust, fingerprints so it needs some pampering. The keyboard backlit is very awesome and is eye catchy , sound is awesome, screen resolution is just best. battery is average jus..."
73,5,One of tha Best laptop for Gaming and also for office work  Pros... Best performance Best display Best Sound Best design Best battery backup Beautiful backlit keyboard Trust of HP service  Put ssd and increase ram yourself.. Then this laptop will be Beast performance.  Cons.... Average webcam Boot time max 30sec... Only 5.9gb Ram available
74,1,"Flipkart and hp, I'm really disappointed in both you with this slow lagging machine. I have seen so many videos that told me that this machine is a very good option but even after spending 55k rupees in this dabba. I'm not even able to use Chrome on it. It's that slow. Yes, not even Chrome. HP people are you sure, you are one of the best companies. You have made this lagging box, just so i can regret trusting you again. I thought maybe 55k is enough for me to get a decent laptop for daily use..."
75,4,Overall I like the laptop and perferably perfer this one.  Pros: 1. Speaker quality is good 2. LED quality is good and great display 3. Keybord is nice 4. Battery back is nice upto 3 hours without games. 5. Laptop build quality is nice. 6. Cooling is very well. 7. Camera quality is quiet well. 8. Processor is at their best  Cons: 1. There should be an SSD in place of HDD ( In this price tag ). 2. There is lagging problem while playing games on battery mode.
76,5,"Ok, first of all this is gaming laptop, so if you are looking for gaming purpose then it's absolutely for you. Now Talking about battery performance then it's as usual like for all gaming laptops. Only thing is it doesn't come with MS office licence key. Overall laptop is worth it...💥 Have a nice day..."
77,4,"Dont judge proformance if u dont know how to setup gaming laptop for gaming 1.update all driver and bios,without this u will face lag and start saying wrost product. 2.setup window mobility or power plan to high proformance and also set best proformance in battery,this will give u constant high proformance for gaming even in battery.but if you are not gaming than set in power sever in battery life otherwise battry drained in 1-2 hours and start crying. 3.Due to radeon vega 8 gpu 2 gb ram wil..."
78,4,Worth it guys go blindly for it but as its a gaming laptop battery backup is not nice but laptop design and other stuff are awesome
79,5,"Go for it , It is a budget friendly laptop with no issues.  You can upgrade in future :- 1)Ram (Upto - 32 GB,3200mhz)The information in product page is wrong. 2)SSD (NVMe)  Backlit keyboard is present at this cost only. The wifi is super fast also the bluetooth. The base speed of processor is 2.10ghz."
80,5,Best laptop for this type of specifications in this affordable price. And also good for Music quality.Display is good for quality videos . Performance is not so good.
81,5,"The only thing that I noticed is that it takes a little time to boot up. I have had used Lenovo before, beside being old it boots even taster than HP. Other than this I like all about it, when it gets little hot the two fans kicks in which makes me feel that I have a powerful machine. If you have more budget, then I would suggest you to go for Asus ROG. Which is too of the line product."
82,5,Good laptop with quite good display and features. Performance wise the processing is little slower than expected. Good buy at this price. Games run with good speed and efficiency.
83,4,This is best laptop for students. I really like keyboard and disin. Startup almost 10s. But super and amazing. Perfomance is specialy amazing. I konw ryzen is best than in intel.still i satisfied this product 😍
84,5,"This is my first higher price product that I bought from Flipkart. The seller was PETILANTE ONLINE. I was very much satisfied with overall everything. I literally have zero complaints. The package and the delivery was all perfect and genuine. Coming to the laptop, it's the BEST machine if you're looking for a great gaming and also for other miscellaneous purposes. I never thought that online shopping would be a bliss. Thank you, Flipkart."
85,2,"This review is after using for 1 week after installing all the updates and updating BIOS. This is a mediocre laptop. It just gets the work done. If you are purchasing this laptop, better get the SSD version or better get a SSD and upgrade RAM. The HDD version is really slow to boot up and takes 2-3 minutes after startup to function without stuttering. The initial 2-3 minutes after startup is really painful to use. My 2012 Dell laptop with HDD boots faster and can get to functioning properly ..."
86,4,I am writing this review almost a month After I have started using the product. As per the price it is an Ok quality of product. You can expect this quality of product for a range of 50k to 55k. I have got it on 48k inclusive of offers. Pros : 1.Got a very productive and effecient build quality. 2. Backlight Keyboard 3. Great 15.6 Inch Display. 4. Graphics card and Support 5. Rygen 5 Performance is great.  Cons : 1. No Microsoft life usability. It will ask you a license key. 2. Battery lif...
87,1,"Pathetic performance take ages to load the PC, had already replaced it once thought performance will be better in replaced version, it worked for a month now back to the same issue, booting takes a life to load? I also bought extended support with technician visit which does not work they want us to do all sorts of check by us before a technician visit can be arranged so pathetic support system. I won't recommend HP hardware."
88,4,"Its takes a several minutes when its starting for first time. but after that it runs smoothly. Also the specification of RAM given here is 8 gb, yes its true.. but for daily(normal usage) you can use only 6 gb. Rest 2 gb is reserved. The best thing is The display and trackpad.  the thing which I didn't liked is that, it only has 2 usb ports which sometimes feels short when multiple devices needs to be connected. Pros: Best Display best nvidia graphic card ryzen 5 chipset Compact attractive b..."
89,5,Good trending budget gaming configuration. HP has hit a jackpot in this category and it’s sales have seen a huge demand for the price point... more than Omen series. Can use it for Design softwares as well as heavy Gaming... serves well for both. AMD Ryzen series of processors wont disappoint you... trust me!
90,5,"I was a bit skeptical about buying this laptop as my first laptop with my first earnings. I didn't want regretful purchase. Although there were many powerful windows laptops, beefed up with specs in this category, I wanted one which could last for quite sometime and have decent battery life.  And since, it's a 'laptop' we should be able to use it on a lap and take it along while traveling with ease. These were my requirements. Being a PC user for the last 10 years, I was still going over whet..."
91,5,"Highly recommended, the packing was fantastic, macbook feels very rich no doubt and it has its own fluidity, i m having a gr8 experience with this beauty after switching from a windows pc. Awesome product love u mac."
92,4,"I wanted to buy a laptoo fir mild use which will serve me smoothly for atleast 4-5 years.. im a student and my parents use it just to browse , listen to music , facetime and all those basic things.. i dont about the technical aspects so I'll give a review thats more on the informal side.... The os is very smooth and easy to use and rhe best thing about macbook is that its more like an iphone.. you can download apps and you can make the same gestures on the touchpad as you would do on iphone ..."
93,5,"apple is best among all, even it is 2017 model its design& day to day performance is fast, it's display is also good but not best as in highend models but it can complete the tasks it is better the other laptops at this price as it is apple, u will get blody satisfaction by this, no words to to express it."
94,5,A decent purchase at very low rate thanks to flipkart's sale offer..good packing and faster delivery. I found it a bit hard to use in the beginning since I was a Windows user for the past 12 years..but once your familiar it's really fun to use apple ecosystem..I would recommend as this is a good buy..since all the other newer versions of apple have USB type c ports which is not widely used which will result in buying an adaptor.
95,5,"this is an awesome laptop it's good for programmers actually because programmers don't need much of video memory because there is not a lot of graphic intensive task that they do it's just about a good multi core processor. also when you have such a good build quality in a laptop you kind of are more focused into your work because you feel good when your working. :) and also there is a lot of online resources you can look come to for its review... thanks for making such good product, apple."
96,5,"I bought this laptop after wondering if it's justified enough for me to purchase a MacBook Pro 13"" in India which costed nearly 122k with just 8 GB RAM and 256 GB SSD, now having purchased a base config MacBook Air, I am very happy, mainly because I was able to buy it for under 45k by exchanging my older Lenovo laptop which was giving me a severe headache.  I'm a software engineer and I have a company issued MacBook Pro 15"" late 2016, I wanted a MacBook which I could use for my personal tasks..."
97,5,"2017 model MacBook Air in 2019 or 2020 ?? Why not..! This is a really fabulous product, Its not about latest model or old model, I believe you need to select product based on your profession and requirements I am an IT programmer and this product fulfils my all requirements. Ever since I switch to Mac from Windows my work gets easy and efficient. The most important factor here is OS, Its superb and way way better than Windows. Tho it has 5th Gen i5 Processor, it is as good as i7 6/7th Gen i..."
98,5,I used to actually for 1 year and after that i am writing this review... I bought it in sept 2019 BBD for 49000/- Rs on sale and for me it is like a very good product.. I will suggest you to actually buy a back cover with the mac as well as it will help you to protect your mac much better. With each update the functionality becomes better. i will divide this mac in between pros and cons. PROS: 1) Battery life is amazing 9-10hours to the max even if you use it continuously. 2) Can edit videos...
99,5,excellent performance as expected.Camera quality is very good compare to others.Battery life is just a nightmare for other laptops.This mac is best for those users whose idea empowers towards multitasking.Charging point is magnetic and protected from a cover.Long charging wire and a classic design.Overall a very good choice for multitaskers.Finally great delivery by flipkart everything is okay inside the box and packaging is just terrific
100,5,I am very happy with the product and the Flipkart services...guys don't go for other laptops in this budget....it's very smooth portable and good graphics too.....it's very good laptop for average users acc to me more than that...brand name also matters....the people who says dsplay is terrible I want to say to those guys that display is not bad ...it's very good ...the only drawback is viewing angle other wise 10 out 10 for dis laptop.
101,5,this message is only for those who wants to learn or develop mobile apps. I bought this Macbook in November 2019. and the very first I installed android atudio. yes I'm an android developer. I tried running android studio and this beauty handles it very smoothly. I didn't faced any lag or hang. so I fired up android emulator too just to know if it can handle or not. But surprisingly the machine handled that too. I was amazed. There's some lag on emulator but it still handles it and doesn't s...
102,4,"Its a beast that u can't judge without using it. I don't know what have Apple done to this laptop (you can refer it as Black Magic), Best in class performance, no other laptop can beat its speed in this price range and nearer high range laptops. And believe me you can BOAST about your battery amongst ur friends if they don't have this model with them may ot be Macbook or Macbook pro, none of the windows laptop stands anywhere infront of this little miniature beast in case of battery. You own ..."
103,5,"who can complain about apple, it is a wonderful piece . sound quality is mind-blowing , never expected that much actually . camera is decent enough and the build up is awesome"
104,5,"This is one the best product Iam buying from flipkart thanks for the retailer ""truecomm"" I was worried how will me laptop be. But once I got my product it was fresh and branded. I bought this in big billion day offer for a cheapest price. This MacBook Air apart from everyone's negative view is a great laptop. If you are a gamer go for something else. This looks so good."
105,1,quite frankly not worth in case you are looking to purchase a business laptop. just wasted my money on this product.  some negatives are mentioned below  1. in case you are extensive user of Excel sheets then this laptop is not for you. As majority of the functions in Excel won't work on this product. I have been told by the apple support to install Windows OS 😂 instead if I have that kind of work  2. in case you are a gamer don't purchase this product. Processing is not optemized to ensure ...
106,1,Nice product awsome look and performance as i expected to be But my charger is heating up♨♨ very fast As too much that i can't hold it
107,4,What can I say about this awesome product . Bought this laptop for android dev. Working like pro smoothly running all programs But having some heating issue sometimes feel cpu heating.
108,5,I previously had one with 4 GB ram now I have the same config with 8gb. It works like a charm. Bit lag for Android studio and xcode. But that is ok since they are heavy softwares. Running simulators was pain in my 4 GB Mac but this one is pretty fast. If you are looking something for 4-5 years with medium to heavy use (I use my Macbook for 8-9 hours per day every day) and don't want to spend anything on maintenance Go buy it. Anyways got it for 51k in Diwali offer. But even for 62k it is bett...
109,5,"Wow amazing! what a laptop ,performance is just awesome . Best in value for money. Any cse student can get this, you will not face any software issue even if software is not available in iTunes App Store you can directly google it and download... So I’ll recommend go for it👍"
110,4,"Terrific deal, I got it just for ₹49k. the design is beautiful works perfectly battery is also good enough and charges very fast, updated with Macos Mojave and became a little slow while turning on. display should have been better."
111,4,"I have been using this Laptop from past 5Months and i hope this review will help you decide whether you should get this Laptop in 2021 or not.  1. Performance(4/5) - Macbooks has one best thing that they are very easy to use and they work very smoothly so if you switch from Windows to mac believe me you'll love the experience of Mac environment. This mac does almost every task very smoothly like coding,picture editing or browsing 25apps at the same time or opening 100s of tabs in chrome at on..."
